"","Customer_Age","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Exited","male","id"
"1",38,1,"Uneducated","Single","Less than $40K","Blue",27,6,3,4,8638,0,0.489,1295,29,0.381,0,0,0,1156
"2",51,2,"Graduate","Married","Unknown","Blue",36,5,3,3,17412,730,0.837,4997,84,0.615,0.042,0,0,5596
"3",52,3,"Uneducated","Single","$120K +","Blue",48,5,3,4,20974,0,0,1246,27,0,0,1,1,4702
"4",60,0,"College","Unknown","Less than $40K","Blue",47,6,3,3,3076,2257,0.795,4522,75,0.471,0.734,0,1,4630
"5",50,2,"Graduate","Single","Unknown","Blue",36,6,2,4,2611,1824,0.711,4232,80,0.633,0.699,0,0,5159
"6",37,4,"Post-Graduate","Married","Less than $40K","Blue",36,3,3,3,1586,0,0.497,2109,41,0.414,0,1,0,7190
"7",46,2,"High School","Married","$80K - $120K","Blue",30,6,3,1,11670,915,0.892,4277,89,0.854,0.078,0,1,7142
"8",57,1,"Unknown","Married","$120K +","Blue",36,6,2,4,23848,1967,0.462,1591,43,0.72,0.082,0,1,2348
"9",55,3,"Graduate","Married","$80K - $120K","Blue",36,4,3,4,2801,2403,0.884,1526,44,1,0.858,0,1,2506
"10",61,1,"Graduate","Single","Unknown","Blue",44,4,3,2,2303,540,0.57,3440,46,0.704,0.234,0,0,6358
"11",56,1,"High School","Single","$80K - $120K","Blue",45,4,1,3,5070,0,1.01,3651,76,0.652,0,0,1,5201
"12",42,3,"Graduate","Married","Less than $40K","Blue",23,4,2,3,2797,1943,0.899,4917,66,0.784,0.695,0,0,6885
"13",40,3,"Graduate","Married","$80K - $120K","Silver",27,3,1,2,34516,0,0.834,3193,53,0.559,0,0,1,3403
"14",60,2,"High School","Married","Unknown","Blue",41,5,2,4,3007,1664,0.34,1475,31,0.632,0.553,0,1,2539
"15",54,3,"Doctorate","Unknown","Less than $40K","Blue",36,3,3,4,1438.3,0,0.499,1598,40,0.29,0,1,0,3273
"16",56,3,"High School","Divorced","$80K - $120K","Blue",52,2,3,1,8111,2051,0.999,3719,69,0.643,0.253,0,1,8010
"17",51,3,"Uneducated","Single","$80K - $120K","Blue",45,3,3,3,25670,0,0.952,2709,51,0.645,0,1,1,4983
"18",52,1,"High School","Single","$120K +","Blue",38,3,1,2,19709,1924,0.468,3000,64,0.641,0.098,0,1,3501
"19",50,2,"High School","Single","Less than $40K","Blue",46,5,3,2,8708,996,0.527,3927,60,0.935,0.114,0,0,4618
"20",52,3,"High School","Married","Unknown","Blue",38,2,1,2,3505,2517,0.612,5034,79,0.681,0.718,0,0,8550
"21",42,4,"Graduate","Married","$40K - $60K","Blue",27,3,1,1,1950,1062,0.48,3873,76,0.854,0.545,0,0,5049
"22",45,4,"Unknown","Single","$60K - $80K","Blue",36,5,2,1,15100,2004,0.9,4135,76,0.689,0.133,0,1,6454
"23",53,1,"Graduate","Married","Unknown","Blue",36,6,3,1,5842,198,0.396,1828,44,0.517,0.034,1,0,4919
